#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142 
#Sectors = S0001-S0003
#Created Date = 2019-02-12
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00100029948-01,100029948,1,3,5327,4.43502,1.38878,-1,38.8798,-1,0.37013,7.2926,0.0237007,0.962204,376756,0,2,1354.17,-1,0.547042,0.1,3.56146,0.70694,0,171673,1469.19,378.92,1497.71,1189.13
00100029948-02,100029948,2,3,5327,4.43502,2.77757,0.000115273,49.1148,227.207,0.467566,2.45095,0.0376227,0.962204,93618.8,1692.55,10.6998,1354.17,0.00113773,5.34988,0.990105,61.6515,1.00555,19,9.47888,88.6014,29.1627,1188.73,471.903
00100029948-03,100029948,3,3,5327,4.43502,2.77731,0.000172713,38.7952,50.1649,0.369324,2.17474,0.0376203,0.962204,58144,1430.04,10.829,1355.57,0.00180784,5.41449,0.990105,1.56736,-0.53889,19,11.2453,70.9897,20.5676,1188.77,471.964
00100100827-01,100100827,1,2,6400,4.36583,0.941449,1.53389e-006,12.9798,0.0284108,0.0966633,3.71168,0.0204283,1.23,10693,23.3488,2.15304,1354.46,4.37916e-005,0.195012,0.0702403,18.4789,0.47083,56,1863.44,465.16,77.8648,2191.33,5449.44
00100100827-02,100100827,2,2,6400,4.36583,0.941431,3.09789e-005,2.40332,1.07861,0.0178979,3.46154,0.0204281,1.23,362.038,17.8419,2.059,1354.93,0.000861521,0.0406641,0.295882,3.69477,0.30677,55,58.8708,17.9543,4.74591,2191.34,5449.58
00100101337-01,100101337,1,1,6854,3.88403,0.695386,3.90948e-005,2.15726,0.736818,0.00856853,2.23846,0.0175352,2.30618,79.3047,8.87446,2.14983,1354.5,0.00134717,0.0268721,0.533428,6.03508,0.32313,75,48.6727,7.80163,3.1097,3468.38,34200.2
00100103200-01,100103200,1,2,3686,4.7696,26.5883,0.00322562,2.06836,0.599343,0.0366465,62.8456,0.144925,0.517,1578.56,151.786,3.33821,1361.63,0.00219228,0.118934,0.0892485,4.55751,9.36805,2,10.4426,10.5398,10.0284,307.2,2.10477
00100103200-02,100103200,2,2,3686,4.7696,15.9484,0.00476433,1.66352,1.05708,0.0294737,37.3601,0.103077,0.517,1019.31,118.151,3.3296,1364.15,0.00328573,0.0970148,0.132946,3.62872,-2.01667,3,1.1393,8.72936,6.72326,364.26,4.16072
00100103201-01,100103201,1,2,3601,4.7978,31.5611,0.00323619,2.43134,0.771943,0.0455443,119.724,0.159979,0.489,2368.39,223.64,1.95061,1371.13,0.00166651,0.0998061,0.393737,4.79897,-7.44305,2,4.17896,12.0598,8.77222,277.804,1.40758
00100103201-02,100103201,2,2,3601,4.7978,18.7902,0.00337654,1.56602,0.706869,0.029335,36.1327,0.113218,0.489,997.439,143.846,3.92453,1357.34,0.00428846,0.121817,0.289777,3.71082,6.34861,3,3.80286,7.40209,5.53265,330.226,2.8104
00139370701-01,139370701,1,1,6632,4.438,1.12005,0.000157234,3.59573,0.419407,0.0217591,1.07682,0.0278403,1.51371,345.908,38.3728,6.06075,1325.62,0.00624339,3.03038,0.97939,5.42591,0.38889,73,50.3885,8.36389,2.87905,2157.85,5123.94
00140579674-01,140579674,1,1,5204,4.56867,26.6186,0.0025734,3.91299,1.74827,0.0442669,69.0574,0.167643,0.809704,2353.12,317.153,3.075,1348.89,0.00356793,0.130372,0.00999983,4.68719,-4.35833,3,1.51704,11.7152,9.60575,504.66,15.3291
00140580497-01,140580497,1,1,3491,4.86863,46.5444,0.00870535,2.4292,0.557359,0.0580981,60.2385,0.185956,0.383,3890.79,430.763,5.90641,1348.51,0.00545461,0.365399,0.344177,3.26755,-1.47222,2,6.64576,7.17218,8.41521,221.073,0.564503
00140609384-01,140609384,1,1,5925.5,4.26541,17.1019,0.00199269,6.17188,2.41107,0.0446374,14.3856,0.13327,1.26653,1372.72,263.309,3.5791,1332.3,0.0046716,1.78955,0.967833,3.69197,9.73889,5,7.99895,10.6641,10.4311,806.043,99.7596
00140635111-01,140635111,1,1,7479,3.45422,19.1307,0.0168024,46.7461,47.3104,0.10515,3.59699,0.167856,4.07222,4973.8,418.704,20.8203,1360.32,0.0207817,10.4102,0.990105,3.94808,2.37222,3,2.75552,8.70176,6.42559,1625.48,1649.88
00140657931-01,140657931,1,1,5334.01,4.51206,67.2405,0.0163651,3.01605,1.05017,0.0275039,40.8391,0.343735,1.00448,892.283,118.129,12.5618,1327.16,0.0116767,0.356667,0.242049,3.40497,8.07778,2,0.09579,7.56548,7.12037,402.351,6.19355
00140659980-01,140659980,1,4,5642.4,3,9.44008,3.14337e-005,72.0948,11.1601,0.3159,15.5749,0.0474213,2.09051,43541.7,111.307,4.02364,1328.28,0.00013675,2.01182,0.990105,290.89,4.45833,9,3577.63,577.17,265.795,1653.08,1764.82
00140659980-02,140659980,2,4,5642.4,3,9.44014,6.37797e-005,58.4572,8.9288,0.256143,10.7248,0.0474215,2.09051,28557.2,107.701,5.22503,1332.74,0.00024701,2.61252,0.990105,8.64746,0.36944,8,1637.52,285.6,131.871,1653.08,1764.81
00140659980-03,140659980,3,4,5642.4,3,33.438,0.00276486,8.35608,2.22341,0.0366141,107.653,0.110192,2.09051,1444.03,180.53,2.03467,1338.74,0.00430357,0.106951,0.58254,8.5507,-6.42222,3,34.6573,15.1162,17.3062,1084.44,326.85
00140659980-04,140659980,4,4,5642.4,3,36.8933,0.00249457,5.96229,2.55137,0.0261251,93.4727,0.117658,2.09051,739.913,116.579,2.59384,1328.87,0.0030866,0.0950643,0.559437,4.50333,20.3319,3,32.0101,15.1389,14.5285,1049.47,286.685
00140687826-01,140687826,1,2,3691,4.438,57.0222,0.00844203,1.47083,1.28893,0.0246131,125.35,0.19411,0.547386,722.771,86.381,3.56058,1347.63,0.00434421,0.0855432,0.0106923,6.58334,0.68889,2,0.35876,10.3947,9.41697,273.501,1.32239
00140687826-02,140687826,2,2,3691,4.438,53.2037,0.00765445,1.31783,0.529693,0.0220527,54.3935,0.185344,0.547386,576.65,87.6316,7.525,1349.36,0.00387039,0.167393,0.174849,4.22594,-1.20972,2,0.02341,7.73218,6.02949,279.894,1.45042
00140801898-01,140801898,1,1,6560.97,4.26038,49.2702,0.0398526,10.5526,1.98916,0.0720214,16.9483,0.279384,1.34213,4637.55,847.943,12.9045,1349.28,0.0313453,4.00425,0.901489,3.25645,5.98889,2,0.22442,7.14383,7.28236,634.537,38.3131
00140859822-01,140859822,1,3,3186,5.02428,64.3249,0.00246193,2.42011,0.49549,0.0947362,218.545,0.187203,0.234,10549.7,1096.4,2.46146,1334.82,0.00177851,0.21303,0.00999983,6.62354,0.675,2,31.125,15.9415,16.7781,157.177,0.144238
00140859822-02,140859822,2,3,3186,5.02428,0.828644,5.99701e-005,0.662813,0.249183,0.0259461,1.7497,0.0102874,0.234,770.235,115.161,3.74763,1325.6,0.00265682,0.123677,0.379641,9.59978,0.38333,98,49.4922,7.98772,6.52109,670.492,47.7633
00140859822-03,140859822,3,3,3186,5.02428,0.828246,0.000132327,1.75854,1.47675,0.068839,1.1139,0.0102841,0.234,1955.56,151.576,5.75176,1326,0.00642077,2.87588,0.990105,0,0.41321,98,72.8434,8.93794,3.73195,670.599,47.7939
00140893238-01,140893238,1,1,9142,3.89696,0.789342,2.46674e-005,2.46862,0.43589,0.00796921,2.03653,0.022128,2.8375,58.6808,6.79943,1.52024,1326.07,0.00104871,0.0618954,0.899013,9.33142,-0.17222,103,26.4592,9.5022,2.88971,4568.04,102906
00140940493-01,140940493,1,2,5516.25,4.50311,0.248942,7.5501e-006,1.61667,1.31965,0.0161931,2.53682,0.0076745,0.914511,309.71,29.0086,0.783778,1325.39,0.000584792,0.0132099,0.00999983,16.7466,0.12292,325,224.864,13.0115,3.15701,2657.08,11779.9
00140940493-02,140940493,2,2,5516.25,4.50311,0.248945,5.67441e-006,3.27582,2.08179,0.0328117,1.11782,0.00767455,0.914511,514.683,50.1945,1.16223,1325.51,0.000636717,0.581114,0.988417,0,0.12394,325,322.42,16.9396,4.00696,2657.07,11779.8
00141028198-01,141028198,1,2,8192,4.09456,23.7956,0.00561436,12.6973,10.0907,0.0552932,14.0362,0.204314,2.10348,2043.08,271.386,5.40374,1347.27,0.0065856,2.70187,0.969761,5.29462,4.99167,3,0.42602,11.1554,9.14888,1159.85,427.689
00141028198-02,141028198,2,2,8192,4.09456,24.0561,0.0035126,9.80057,6.8374,0.0426786,17.9828,0.205803,2.10348,1657.14,186.698,5.36681,1342.26,0.00459015,1.03101,0.901201,3.71558,2.47222,3,4.28156,9.39424,7.48819,1155.65,421.524
00141096071-01,141096071,1,2,4176,4.58996,1.57113,3.00987e-005,2.89601,3.55803,0.0390711,22.8506,0.0229709,0.678956,1822.59,144.286,0.523515,1325.55,0.000793019,0.0215016,0.295134,9.11601,0.85417,52,49.441,12.3888,3.93221,1001.81,238.045
00141096071-02,141096071,2,2,4176,4.58996,1.57116,4.62442e-005,2.99157,0.891777,0.0403603,12.5141,0.0229712,0.678956,1348.13,181.846,0.496579,1326.41,0.00117095,0.0924249,0.903245,2.79898,-0.32604,51,40.276,9.21632,4.22677,1001.8,238.038
