#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018235142541 
#Sectors = s0002-s0002
#Created Date = 2018-12-11
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00100029948-01,100029948,1,1,5327,4.43502,1.38855,-1,31.2012,-1,0.297031,4.63514,0.0236981,0.962204,383736,0,3,1354.17,-1,0.700583,0.1,4.31979,1.00694,0,82335.1,970.017,299.197,1497.79,1189.39
00100100827-01,100100827,1,2,6400,4.36583,0.941457,4.05866e-006,12.9779,0.0359811,0.0966489,3.70516,0.0204285,1.23,10682.1,29.8129,2.15299,1354.46,6.39841e-005,0.195817,0.0978932,14.6528,0.47083,29,661.25,357.088,75.0028,2191.32,5449.39
00100100827-02,100100827,2,2,6400,4.36583,0.941519,8.07706e-005,2.48869,1.18599,0.0185338,3.37421,0.0204294,1.23,387.203,21.6351,2.09952,1354.93,0.00123931,0.0436807,0.321125,3.47743,0.30553,29,36.8088,14.6647,4.83371,2191.28,5448.91
00100100829-01,100100829,1,1,3324,4.438,0.941584,0.000121219,7.47168,0.399925,0.0684409,2.49143,0.0188102,1,4688.19,251.22,2.30783,1354.46,0.00200526,0.336395,0.762983,2.60351,0.47222,29,23.6751,14.4089,4.45016,1069.44,309.132
00100103200-01,100103200,1,1,3686,4.7696,18.4516,0.00819684,3.47137,6.74349,0.0615046,13.0109,0.113598,0.517,1608.78,200.064,4.1902,1361.64,0.00579527,2.0951,0.988996,3.10474,12.0222,2,15.2491,11.2132,10.8043,346.982,3.4257
00100103201-01,100103201,1,1,3601,4.7978,7.42339,0.00242606,1.40327,1.67524,0.0262864,20.1525,0.0609578,0.489,813.471,144.85,2.88681,1356.27,0.00465838,0.07413,0.0425572,3.30407,4.8125,4,14.8639,10.3746,9.62658,450.044,9.69483
00101948569-01,101948569,1,1,4333,4.5109,19.4724,0.00436208,3.04901,1.47032,0.036892,42.3708,0.124495,0.75705,1645.95,140.124,3.48089,1360.11,0.00304574,0.136003,0.303944,2.41636,0.90417,2,1.13682,11.0334,8.76909,471.484,11.6786
00102069549-01,102069549,1,1,5588,4.438,11.2583,-1,88.8722,-1,0.245676,11.8878,0.218611,3.3136,0,0,9,1362.82,-1,1.79347,0.1,67.1047,-1.28472,0,983082,2604.07,2853.86,959.981,200.711
00102071750-01,102071750,1,2,3148,4.438,10.2359,0.00233144,9.61591,0.6582,0.0880821,11.428,0.0923083,1,9246.51,974.809,7.45658,1354.91,0.00305783,0.605036,0.000320267,6.52625,7.23611,3,6.57722,13.3594,9.19872,457.2,10.3263
00102071750-02,102071750,2,2,3148,4.438,14.9737,0.00323558,8.19668,1.26759,0.075082,44.7392,0.118953,1,6719.06,869.158,2.74906,1357.5,0.00232539,0.192021,0.00294168,5.73515,-1.11806,2,1.1104,12.7921,11.0918,402.754,6.2184
00114794572-01,114794572,1,2,3104,5.06503,22.4321,0.00478898,4.40364,1.02169,0.200684,32.2517,0.0864721,0.201,45488.1,2483.71,5.9698,1356.51,0.00338611,1.18501,0.424351,7.59777,-0.56111,2,1.32571,25.6791,20.1117,208.821,0.449382
00114794572-02,114794572,2,2,3104,5.06503,9.82682,0.00458166,1.77268,0.583495,0.0807853,25.7952,0.0498775,0.201,7672.24,1257.24,3.14482,1361.47,0.0056003,0.235417,0.0333602,2.7191,6.99583,3,17.365,12.9456,14.1902,274.954,1.3507
00114818345-01,114818345,1,2,3452,4.438,13.3688,0.0029238,1.92891,0.483628,0.0176689,17.6489,0.110294,1,357.87,37.7398,5.35555,1366.13,0.00193553,0.113127,0.424754,6.32011,5.09722,2,0.35923,11.518,8.90666,458.657,10.4586
00114818345-02,114818345,2,2,3452,4.438,2.50168,0.000643912,1.72617,0.0921708,0.0158118,1.39808,0.0360836,1,218.736,19.2762,8.94971,1356.29,0.00310454,0.685936,0.892067,2.19722,1.14028,11,31.5571,13.913,11.7239,801.877,97.7127
