#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018292093540
#Sectors = S0004-S0004
#Created Date = 2019-02-13
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00100990000-01,100990000,1,1,6101,4.38774,19.1402,0.00354319,2.47871,0.756096,0.0199993,35.1903,0.146702,1.13529,436.661,42.8668,3.58439,1414.91,0.00255167,0.0991328,0.544583,3.44808,-0.48889,2,0.0486,9.2253,6.74391,748.907,74.3418
00101070347-01,101070347,1,1,5950,4.08351,16.505,0.00361373,4.09846,2.50177,0.0239139,37.4315,0.130611,1.56988,663.626,91.7814,3.44623,1417,0.00270353,0.0806643,0.0447077,3.49696,-2.95139,2,0.0041,7.10801,5.09273,910.231,162.229
00101070833-01,101070833,1,4,6312,3.62201,0.827611,1.26304e-005,69.4112,27.5329,0.222867,4.76476,0.0185594,2.85287,21521.3,530.765,0.977478,1410.91,0.000238028,0.488739,0.990105,175.098,0.06146,32,28.9314,27.2771,7.79106,3453.17,33604.1
00101070833-02,101070833,2,4,6312,3.62201,0.827604,9.72665e-006,57.5602,102.654,0.184815,9.81316,0.0185593,2.85287,14245,447.854,0.421731,1410.99,0.000232521,0.210865,0.990105,9.06961,-0.14935,32,210.557,28.8176,14.7618,3453.18,33604.5
00101070833-03,101070833,3,4,6312,3.62201,0.827787,4.20863e-005,47.3394,27.2825,0.151998,3.53552,0.018562,2.85287,9995.35,730.651,1.10281,1411.32,0.000761372,0.551404,0.990105,33.7869,0.0625,31,11.7298,8.42075,3.15583,3452.92,33594.6
00101070833-04,101070833,4,4,6312,3.62201,0.82774,-1,12.1109,-1,0.0388859,13.0917,0.0185613,2.85287,1722.62,-1,0.5,1411.4,-1,0.0189325,0.1,2.26361,0.26146,31,19.7604,12.1359,4.56415,3452.99,33597.1
00101100599-01,101100599,1,1,5431,4.41269,17.268,0.00252624,4.72363,2.45095,0.0431753,69.5767,0.128481,1.00216,2214.02,335.931,1.97785,1414.79,0.00177671,0.0818732,0.00999983,5.93807,2.28194,2,0.06297,11.875,9.28579,669.301,47.4249
00101101415-01,101101415,1,2,7502,3.9597,0.25273,1.75414e-005,5.52592,1.23207,0.0221849,2.04267,0,2.28163,450.601,108.835,0.516592,1411.02,0.000406232,0.0554435,0.899897,7.39769,-0.05625,103,61.3871,7.62441,3.57395,0,0
00101101415-02,101101415,2,2,7502,3.9597,0.252732,1.38222e-005,6.39626,1.17167,0.025679,2.19157,0,2.28163,603.158,98.062,0.480209,1410.96,0.000315354,0.0587686,0.900034,7.04194,0.11563,103,84.2441,7.94838,2.90809,0,0
00101101936-01,101101936,1,1,3335,4.438,14.3169,0.0131128,8.69115,0.857325,0.0796113,8.58532,0.115449,1,7553.78,1137.46,13.7865,1416.68,0.0101636,1.02151,0.0253649,2.09535,-2.375,2,13.3405,11.3603,13.2078,433.105,8.31561
00001029392-01,1029392,1,1,6015,4.438,0.623528,1.01552e-005,28.4621,6.54996,0.260714,2.91736,0.0142909,1,29247.5,569.074,1.37366,1411.03,0.000239057,0.686829,0.990105,36.411,-0.06667,42,1072.27,84.0721,29.4914,2220.23,5742.65
00001031405-01,1031405,1,1,5526,4.39412,21.2496,0.00361644,3.56388,4.35095,0.0314763,67.4196,0.148818,1.03714,1171.33,148.238,2.48166,1412.3,0.00186852,0.0758653,0.0420691,2.23568,-0.40417,2,4.01133,8.3605,7.81886,643.716,40.5787
00001129033-01,1129033,1,1,5500,4.48298,1.36003,7.46554e-006,12.2082,0.0417317,0.117714,5.41892,0.0240434,0.95,16380.6,42.1598,2.15633,1410.98,8.17945e-005,0.229963,0.0509278,2.16779,0.87083,20,10607.9,348.149,108.717,1525.52,1279.96
00001129237-01,1129237,1,2,6248.28,4.438,19.4019,0.00133883,36.47,2.34011,0.334067,73.3152,0.141379,1,118679,15555.5,2.46501,1414.4,0.000958304,0.840763,0.541561,16.6676,1.52639,2,0.23206,25.7161,21.5266,733.263,68.3219
00001129237-02,1129237,2,2,6248.28,4.438,0.511033,1.25508e-005,53.7663,91.7583,0.492501,2.59693,0.0125157,1,105760,3650.94,1.88893,1411.34,0.000350689,0.944465,0.990105,52.6296,0.07101,51,429.945,30.0164,19.1225,2464.48,8718.09
00001129452-01,1129452,1,3,6690,4.19921,0.356992,2.07363e-005,6.22967,7.91411,0.0363934,1.41652,0.011072,1.56798,640.467,71.1284,0.837642,1411.09,0.000828703,0.418821,0.990105,4.12681,0.06354,73,25.0623,10.8288,3.73549,3512.98,35993.6
00001129452-02,1129452,2,3,6690,4.19921,0.357095,1.53441e-005,9.82213,14.3232,0.0573803,1.99649,0.0110741,1.56798,1479.51,138.995,0.588556,1411.02,0.000718933,0.294278,0.990105,4.71505,0.13333,73,27.1445,12.5851,5.42111,3512.65,35979.8
00001129452-03,1129452,3,3,6690,4.19921,0.357047,7.08207e-006,7.18102,6.81707,0.0419511,3.75838,0.0110731,1.56798,1573.78,94.897,0.392168,1411.16,0.00032081,0.0745128,0.901305,4.07566,0.05833,73,54.5972,12.3448,3.96182,3512.8,35986.2
00120896927-01,120896927,1,2,5175.2,4.37657,4.75583,0.000855955,1.89908,0.759223,0.0195971,10.8757,0.0487898,0.887665,406.143,36.7489,2.57329,1411.46,0.00276988,0.0886337,0.670423,3.65249,3.09583,6,3.87109,10.3924,5.98092,974.045,212.734
00120896927-02,120896927,2,2,5175.2,4.37657,17.1819,0.00304443,2.21012,2.54525,0.0228068,61.7915,0.114875,0.887665,609.416,61.6136,2.04848,1414.55,0.002227,0.0515451,0.34102,2.29789,0.90556,2,0.22999,10.6607,8.04964,634.792,38.3747
00120956236-01,120956236,1,2,5105,4.05352,0.327102,1.6009e-006,44.0155,11.5482,0.279521,5.073,0.00883439,1.44241,43984.3,930.352,0.45012,1411.04,4.56016e-005,0.22506,0.915449,14.6848,0.13333,79,51.8312,25.4174,6.29347,2878.35,16221.7
00120956236-02,120956236,2,2,5105,4.05352,0.327058,2.29301e-006,92.3605,15.7377,0.586537,2.0661,0,1.44241,386981,4460.95,2.16905,1411.19,7.88052e-005,0.894486,0.273211,20.2528,0.12849,80,151.133,28.1784,5.22808,0,0
00120960352-01,120960352,1,1,5575,3.85485,16.5052,0.00655853,4.68908,4.94191,0.0221181,34.265,0.126283,1.94195,573.73,86.6547,3.71589,1417.01,0.0034,0.0824797,0.159279,4.12163,0.48056,2,3.99123,7.63953,6.72439,964.68,204.67
00120976106-01,120976106,1,1,2996,5.1174,12.9431,-1,2.62828,-1,0.14591,22.5844,0.0546977,0.165,24955.3,-1,5,1414.11,-1,0.642739,0.1,3.05888,0.72778,2,17.1453,16.0624,15.0191,229.61,0.656879
00121007796-01,121007796,1,1,3838,4.72452,19.642,0.00465132,5.29222,0.822625,0.086566,17.0406,0.120664,0.56,8856.77,790.902,9.57403,1413.95,0.0033455,0.763629,0.00999983,3.43803,-0.975,2,0.42913,11.1416,8.94196,364.84,4.18726
00121009628-01,121009628,1,1,4277,4.438,0.282061,-1,5.39054,-1,0.0493775,2.33591,0.00842139,1,455843,0,1,1411.1,-1,0.050663,0.1,36.2028,0.14317,0,66.573,36.3283,5.92016,2056.55,4227.44
00121048789-01,121048789,1,2,5636,4.13904,0.64413,1.27404e-005,14.7002,4.00988,0.0954397,1.86588,0.0146042,1.41088,3797.98,47.0686,1.48057,1410.92,0.000302624,0.740286,0.990105,3.28932,0.47778,41,1249.62,73.4754,20.7148,2444.38,8437.19
00121048789-02,121048789,2,2,5636,4.13904,8.28859,0.00160577,5.05123,2.95086,0.0327947,39.4983,0.0801953,1.41088,1182.97,146.318,1.4013,1417.27,0.00231716,0.0630081,0.550335,2.61351,5.57222,3,2.13561,13.0472,11.4903,1043.12,279.804
00121078334-01,121078334,1,2,7408,4.16026,0.92857,9.20031e-006,46.2774,8.56677,0.236606,3.01904,0.0222133,1.7916,62456.3,281.7,2.99358,1411.63,0.000149667,0.590177,0.0110811,110.196,0.46732,28,833.143,183.037,50.5184,2935.67,17552.9
00121078334-02,121078334,2,2,7408,4.16026,0.928566,1.5828e-005,31.8389,5.89511,0.162785,2.64362,0.0222132,1.7916,28211.8,233.898,2.87675,1411.17,0.000256717,0.57495,0.559538,1.19922,0.26667,28,246.327,89.4611,24.9454,2935.67,17553
00121092386-01,121092386,1,2,6318,3.85852,0.843215,-1,11.1648,-1,0.0470143,3.41286,0.0188062,2.1753,257568,0,2,1411.41,-1,0.0932845,0.1,53.6358,0.42238,0,101.037,103.985,29.2641,2998.34,19100.5
00121092386-02,121092386,2,2,6318,3.85852,0.421577,2.44007e-005,19.6246,3.45148,0.0826379,1.59228,0.0118466,2.1753,5331.33,345.202,1.40747,1411.32,0.000859612,0.703736,0.935204,91.808,0.06213,62,2.92164,9.10909,3.9996,3777.76,48134.9
00121134517-01,121134517,1,2,6087,4.16029,0.335192,3.66004e-006,33.894,7.76565,0.211006,3.21154,0.00987637,1.47138,23508.2,892.068,0.630018,1410.96,0.000117479,0.315009,0.953199,14.9206,0.13958,78,36.8604,18.3166,4.41445,3278.38,27299.6
00121134517-02,121134517,2,2,6087,4.16029,0.335124,-1,4.39799,-1,0.0273796,2.6874,0.00987504,1.47138,864.05,-1,1,1411.11,-1,0.0282438,0.1,22.6857,0.12401,77,135.416,20.6293,3.56031,3278.6,27307
00121156576-01,121156576,1,2,5405,4.438,15.898,0.000993262,37.2284,0.222508,0.341014,15.3236,0.123799,1,135768,1599.45,10.5523,1414.18,0.000714067,2.75687,0.174375,19.2308,3.975,2,0.95712,83.2719,59.8264,677.843,49.8928
00121156576-02,121156576,2,2,5405,4.438,3.97461,0.00057863,26.8282,0.27898,0.245748,3.29144,0.0491305,1,64813.2,1346.6,10.4565,1414.17,0.00187386,3.06625,0.598238,2.08713,0.85278,6,41.1065,31.6701,20.7348,1076,316.788
00122503733-01,122503733,1,1,6894,4.26767,18.2027,0.00172958,6.63952,1.98269,0.040805,71.1058,0.155125,1.49046,1883.22,283.241,2.03543,1413.75,0.00131773,0.0798122,0.00999983,12.7807,0.27917,2,1.6136,12.1851,9.45112,942.936,186.832
00122556844-01,122556844,1,2,6348.41,4.438,21.2695,0.00313988,4.62556,2.22595,0.022075,65.0719,0.232149,1.91938,538.783,68.2639,2.27859,1412.27,0.00193491,0.0621101,0.460483,3.09801,-0.36389,2,10.0484,10.0767,9.36843,805.478,99.4799
00122556844-02,122556844,2,2,6348.41,4.438,13.1433,0.00338596,4.92271,0.602779,0.0234931,8.30927,0.168422,1.91938,632.807,72.011,12.3885,1417.21,0.00239812,0.286228,0.0427997,3.47666,8.79166,2,9.81058,9.39074,7.99314,945.665,189.004
00122612091-01,122612091,1,1,6250,3.98811,2.21682,0.0001322,14.0748,0.196391,0.065114,3.66361,0.037164,1.98,4419.36,75.6622,3.90015,1412.22,0.000863513,0.426813,0.677509,2.33899,0.55139,12,3.81948,40.5174,15.8921,2013,3880.55
