#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search =  tess2018319112539
#Sectors = S0005-S0005
#Created Date = 2019-02-27
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00100508429-01,100508429,1,1,6075,4.39514,10.3077,0.00741112,10.6007,8.12555,0.0866722,7.76566,0.0968007,1.12035,3813.76,492.33,4.84744,1444.06,0.00544283,2.42372,0.977874,2.89328,2.97917,2,7.65908,8.55451,8.96235,911.96,163.465
00100510452-01,100510452,1,1,3554,4.438,10.0444,0.0017569,7.6311,1.57428,0.0699012,36.1013,0.0911531,1,5824.45,822.783,2.27432,1438.88,0.00223535,0.14864,0.00999983,7.75284,2.5125,3,15.9119,12.3025,13.2713,519.426,17.2034
00100608026-01,100608026,1,1,4105,4.60015,16.5148,0.00538205,2.48666,2.6665,0.0342316,51.149,0.109609,0.665406,1421.41,174.714,2.5256,1442.49,0.00392613,0.0853696,0.146162,2.72566,2.81944,2,0.00124,8.62296,6.43813,446.299,9.37614
00100656225-01,100656225,1,2,6185,4.16009,0.686969,8.43333e-005,2.85317,2.43547,0.0174376,2.54868,0.01613,1.49878,345.213,32.6307,2.07289,1438.18,0.00168676,0.0408362,0.293498,9.54548,0.33472,39,26.6246,7.8968,3.15476,2630.77,11320.2
00100656225-02,100656225,2,2,6185,4.16009,0.687981,9.8902e-005,2.81279,1.24543,0.0171909,1.96152,0.0161459,1.49878,327.958,29.4227,2.6095,1438.49,0.00190751,0.0602089,0.457235,1.39411,0.4807,38,37.8399,8.84885,3.34894,2629.48,11298
00011002748-01,11002748,1,1,6730,4.19472,0.778748,3.92888e-005,88.0562,127.05,0.50876,2.04355,0.0186963,1.58542,128666,1872.7,4.20695,1438.42,0.000735191,2.10347,0.942853,9.51314,0.3996,34,41.2807,9.88203,3.9134,2734.65,13216.8
00114921576-01,114921576,1,1,5531,4.55445,0.587271,2.72745e-005,3.91255,0.680622,0.0415333,3.25873,0.0136094,0.862902,1749.26,117.028,1.04529,1438.16,0.000608307,0.089558,0.740199,6.78412,0.14444,45,23.3699,16.4578,4.99765,1943.38,3370.92
00114923989-01,114923989,1,1,5971,3.03046,0.587258,1.58689e-005,83.7647,24.8755,0.146228,1.95002,0,5.24721,20862.2,1012.97,2.1728,1438.22,0.000381139,0.678434,0.790553,7.69818,0.16944,45,474.87,87.5781,32.204,0,0
00117648603-01,117648603,1,3,5010,4.438,19.9194,0.0014414,15.8466,15.8517,0.169464,19.5168,0.129771,0.856558,34696.8,1725.84,9.12349,1442.52,0.00101634,1.32314,0.00999983,5.35433,0.95139,2,6.19227,24.3299,17.9048,567.962,24.5922
00117648603-02,117648603,2,3,5010,4.438,8.91266,0.00320098,22.8757,27.4353,0.244634,10.8231,0.0759157,0.856558,24736.1,1610.75,4.76845,1444.63,0.00262074,2.38422,0.990105,12.1586,-0.65417,3,50.1009,15.59,13.3268,742.578,71.8605
00117648603-03,117648603,3,3,5010,4.438,8.90555,-1,4.30875,-1,0.0460778,47.2321,0.0758753,0.856558,0,0,1.5,1444.31,-1,0.0667207,0.1,97.8293,-0.18472,0,1.41349,14.5437,11.731,742.776,71.937
00117649333-01,117649333,1,1,5330,4.38292,10.1606,0.00137709,7.06404,1.23795,0.0633053,37.6965,0.0893471,1.02214,4781.07,365.379,2.18965,1445.8,0.000991052,0.130405,0.00999983,4.87655,0.80972,2,68.1751,22.9596,25.9315,795.489,94.6362
00117735611-01,117735611,1,1,31000,5.59998,13.4357,0.00842585,9.70635,0.572786,0.493948,29.9266,0.0860672,0.18,255046,28920.4,5.12524,1444.08,0.0057567,1.69591,0.026095,2.9753,-0.68333,2,1.28369,10.256,7.78395,1978.2,3619.14
00117747153-01,117747153,1,1,5242,4.39533,11.3021,0.00316294,4.43406,1.59011,0.0408459,33.3606,0.0950762,0.994377,1999.31,275.161,2.69416,1446.98,0.00272711,0.105767,0.00999983,7.98559,4.4,2,34.743,18.9334,20.6238,748.047,74.0006
00117748478-01,117748478,1,2,3396,4.91468,11.3977,0.00165492,4.58558,0.826027,0.125761,20.6952,0.0688267,0.334,18617.1,1995.02,4.73861,1446.63,0.00119286,0.529767,0.00999983,7.45754,3.81667,2,42.5817,22.7885,21.0563,330.107,2.80633
00117748478-02,117748478,2,2,3396,4.91468,16.0919,0.00143554,3.2231,0.704166,0.0883943,86.4223,0.0866201,0.334,9140.04,1246.6,1.52491,1446.25,0.0010007,0.128057,0.188308,6.43033,-0.42778,2,0.16886,15.4804,11.6764,294.255,1.7718
00117879940-01,117879940,1,1,5436,4.41257,1.13112,1.73015e-005,20.7262,20.7263,0.189285,2.69283,0.0208874,1.003,34049.5,194.942,3.02857,1438.7,0.000208145,1.2597,0.796437,2.31661,0.21528,23,10483.5,254.957,91.5757,1662.19,1804.01
00117880865-01,117880865,1,1,3325,4.95239,4.42487,0.000565855,2.40972,0.70626,0.0740709,26.9617,0.0349432,0.298,6455.56,955.448,1.34693,1441.96,0.00143654,0.092936,0.00999983,4.48823,1.59167,6,5.4201,10.4368,8.55866,428.46,7.96456
00117925262-01,117925262,1,1,7193,4.438,0.601173,4.90909e-005,7.22113,2.57492,0.0661458,1.43576,0.0139472,1,2014.6,88.6093,1.79169,1438.44,0.00112339,0.895844,0.990105,1.91382,0.125,44,68.5502,13.2575,4.67637,2687.56,12329.7
00117978580-01,117978580,1,2,7299,3.90099,0.263595,2.65492e-006,48.7502,20.8192,0.187267,2.40376,0,2.38458,15357.7,372.05,0.611727,1438.15,0.00010222,0.305864,0.990105,22.8568,0.05417,100,48.8082,30.6986,5.28791,0,0
00117978580-02,117978580,2,2,7299,3.90099,0.263585,-1,9.99224,-1,0.0383838,4.20669,0.00951422,2.38458,0,0,0.5,1438.2,-1,0.0190114,0.1,11.3808,0.0615,0,15.7506,17.8938,3.57938,5098.88,159742
